publish_date,headline_text
20100101,"100 Most Anticipated books releasing in 2010"
20100101,"10 best films of 2009 - What's on your list?"
20100101,"10 days of free admission at Lan Su Chinese Garden to celebrate their 10th birthday"
20100101,"10 PlayStation games to watch out for in 2010"
20100101,"10 resolutions for a Happy New Year for you and your dachshund"
20100101,"10 Tips to a healthy diet that works"
20100101,"10 tips to avoid the drive-thru and encourage weight loss"
20100101,"10 trends to end in 2010"
20100101,"11 year-old girl and 15 year-old boy accused of attempting to kill mother: Who is the adult?"
20100101,"12 Days of Rotoff: Vijay Singh"
20100101,"12 New Year's resolutions for better eating"
20100101,"14 Hours of Energy Conference"
20100101,"2009 Entertainment farewells"
20100101,"2009 in Review: Lacrosse inches into the mainstream"
20100101,"2009 Review: Climategate to Copenhagen Part I"
20100101,"2009's best pet moments for me"
20100101,"2009 Sprint Cup season in review: Clint Bowyer"
20100101,"'2009: The Year in Viral Videos, a Retospective' covers all the bases (with funny video)"
20100101,"2009 Top 10 Christian Fiction Atlanta Based Authors Announced"
