publish_date,headline_text,tag
20100101,12 Days of Rotoff: Vijay Singh,Clickbait
20100101,12 New Year's resolutions for better eating,Clickbait
20100101,14 Hours of Energy Conference,Clickbait
20100101,2009 Entertainment farewells,Genuine
20100101,2009 in Review: Lacrosse inches into the mainstream,Clickbait
20100101,2009 Review: Climategate to Copenhagen Part I,Clickbait
20100101,2009's best pet moments for me,Clickbait
20100101,2009 Sprint Cup season in review: Clint Bowyer,Clickbait
20100101,"2009: The Year in Viral Videos, a Retospective' covers all the bases (with funny video)",Clickbait
20100101,2009 Top 10 Christian Fiction Atlanta Based Authors Announced,Clickbait
20100101,2009 was Adam Lambert's year to star: 2010 should be bigger (video & slide show),Clickbait
20100101,2009 was a year of great tunes and great shows,Genuine
20100101,2009 Weather Highlights,Genuine
20100101,2010,Genuine
20100101,"2010 and beyond, beyond ...",Clickbait
20100101,"2010, A New Year and a new decade dawns: What dreams will come, what will we do?",Genuine
20100101,2010; a space fairy tale,Clickbait
20100101,2010 - A Whole New Year,Clickbait
20100101,2010: A year of races ... GOP Gov. race,Genuine
20100101,2010 ball drop video from Times Square - Happy New Year 2010!,Genuine
20100101,"2010 California fishing license: No Wear initiative, voluntary Warden Stamp, Delta Bay Stamp gone",Genuine
20100101,2010 California restaurant law: No more trans fats in restaurant cooking,Genuine
20100101,2010: Challenge yourself to save money,Clickbait
20100101,2010 coupon schedule is now available for you to plan your newspaper purchases,Genuine
20100101,2010 fitness trend: get fit with Wii Fit,Clickbait
20100101,2010 Grammy Awards: Best Contemporary R&B Album prediction & analysis,Genuine
20100101,2010 Heavy Music Preview,Genuine
20100101,"2010 - How do you say it, 'twenty ten' or 'two-thousand ten'?",Genuine
20100101,2010 is the Year of the Tiger,Clickbait
20100101,2010 make it your best year ever!,Clickbait
20100101,2010 New Year resolutions for dog owners,Clickbait
20100101,2010 New Year's Resolution: Attend the Benson's Flea Market and Antique Show,Genuine
20100101,2010 NLL preview: Philadelphia Wings,Genuine
20100101,2010 Pierce County elections - County level,Genuine
20100101,2010 Predictions by Post Road Advisors,Clickbait
20100101,2010 Scholarship Listings,Genuine
20100101,2010's first Pop of King gives us the author's 10 best movies of 2009,Genuine
20100101,2010's first UFC event to be held Saturday,Clickbait
20100101,2010: The future is here and I want my money back!,Genuine
20100101,2010: The Top 5 Albums of the past Decade - Nico Stai,Genuine
20100101,2010 volunteer vacations and opportunities in Arizona,Clickbait
20100101,2010 Wardrobe Essentials: Platform Sandals and Flats,Clickbait
20100101,3 mistakes to avoid when making weight loss resolutions,Clickbait
20100101,3 steps to turn your resolution into results,Clickbait
20100101,4 Winter cycling products to keep you warm and dry,Genuine
20100101,5 clean recipes to start the New Year,Clickbait
20100101,"5 days of Disney on Ice in Long Beach, CA",Genuine
20100101,5 New Year resolutions for teen parents,Clickbait
20100101,5 Penguins named to Olympic rosters,Clickbait
20100101,5 simple New Year's resolutions you can keep,Clickbait
20100101,5 Tips to credit card identity theft prevention,Clickbait
20100101,5 ways to save $500 in 2010,Clickbait
20100101,60 second success tip: blind marching band leads the way,Genuine
20100101,80stees com - shop for retro super hero garb,Clickbait
20100101,8 Job search resolutions for 2010,Clickbait
20100101,8-month-old Arizona boy Gabriel Johnson still missing after mother's arrest in Miami Beach,Genuine
20100101,8 Tips to refresh your relationship in the New Year,Genuine
20100101,"Aamir Khan's 3 Idiots breaks all box office records, earns Rs.100 crores in 4 days - watch online",Genuine
20100101,A better you equals better prospects,Clickbait
20100101,A Black Tie Affair,Clickbait
20100101,A broken rosary,Clickbait
20100101,Acer unveiling laptop at CES 2010 with new Intel Technology and boasting a 10 hour battery,Genuine
20100101,"ACLS classes in central and eastern Virginia - updated January 1, 2010",Genuine
20100101,A College Students Guide To Disney World: Hollywood Studios,Genuine
20100101,A connection that's ... Thicker than Blood,Clickbait
20100101,A cool wet December for most of California,Clickbait
20100101,A cynics look back,Clickbait
20100101,Adam Lambert flashed by Pamela Anderson on New Year's Eve: Nude breast a free show - photo,Genuine
20100101,Adam Lambert Gridlock performance on New Year's Eve (video),Clickbait
20100101,Adam Lambert is stylish and 'shiny' at Gridlock's New Year's Eve Bash (photo slideshow and video),Clickbait
20100101,"Adam Lambert on New Year's Eve: No New York TV, see his LA Gridlock performance here (video)",Clickbait
20100101,Adam Lambert performing at Gridlock ( watch video here ) Sleepwalker,Clickbait
20100101,"Adam Lambert rocked the red carpet and stage at Gridlock New Year's Eve party (photos, video)",Clickbait
20100101,"Adam Lambert too risky for Rockin' New Year's Eve, but Jennifer Lopez's outfit outrageous (video)",Clickbait
20100101,A Decade in Flames - Top 10 Moments,Clickbait
20100101,A decade of indie,Clickbait
20100101,A decade of unforgettable designers,Clickbait
20100101,A delicious dip recipe - spinach and parmesan cheese,Clickbait
20100101,A different take on 2009,Clickbait
20100101,Aerial fireworks display from the back yard,Clickbait
20100101,A few more changes that yield big results - part 3,Genuine
20100101,A few New Year's resolutions for the Bucs,Clickbait
20100101,"Afghan suicide bomber update: CIA revenge, Afghan National Army, invited on Afghanistan base (video)",Clickbait
20100101,A green pet,Clickbait
20100101,A harried experience of traveling with Fido during the Christmas rush,Genuine
20100101,A healthy New Year,Clickbait
20100101,A highlight of what happened in the transportation industry in 2009,Genuine
20100101,Air Force uses ground attack to beat Houston in Armed Forces Bowl,Genuine
20100101,Airline delays on the tarmac - the rules are changing,Genuine
20100101,Airport pat-downs not effective,Clickbait
20100101,A law enforcement officer is asked to predict the future of medical marijuana in Colorado for 2010,Genuine
