Headline Text,Tag,Sentiment,Semantic Meaning,SSA,SSAM,SSAT
100 Most Anticipated books releasing in 2010,genuine,neutral,Genuine Post,7,7,44
10 best films of 2009 - What's on your list?,genuine,neutral,Genuine Post,10,10,44
10 days of free admission at Lan Su Chinese Garden to celebrate their 10th birthday,genuine,positive,Entice Users,15,15,83
10 PlayStation games to watch out for in 2010,genuine,neutral,Genuine Post,9,9,45
10 resolutions for a Happy New Year for you and your dachshund,genuine,neutral,Misleading Title,12,11,62
10 Tips to a healthy diet that works,genuine,neutral,Genuine Post,8,8,36
10 tips to avoid the drive-thru and encourage weight loss,clickbait,neutral,Attention Seeking,10,10,57
10 trends to end in 2010,clickbait,neutral,Misleading Title,6,6,24
11 year-old girl and 15 year-old boy accused of attempting to kill mother: Who is the adult?,genuine,negative,Deceptive Sentiment,17,16,92
12 Days of Rotoff: Vijay Singh,genuine,neutral,Genuine Post,6,6,30
12 New Year's resolutions for better eating,genuine,neutral,Misleading Title,7,7,43
14 Hours of Energy Conference,genuine,neutral,Genuine Post,5,5,29
Entertainment farewells,genuine,neutral,Genuine Post,2,2,23
In Review: Lacrosse inches into the mainstream,genuine,neutral,Genuine Post,7,7,46
Review: Climategate to Copenhagen Part I,genuine,neutral,Genuine Post,6,6,40
